139	NUESTRA SEÑORA DE LA ASUNCIÓN
140	NÚÑEZ, GAUDIOSO
141	NÚÑEZ SOLER, IGNACIO. Don
142	ÑANDUTÍ
143	ÑU GUAZÚ
144	OBELISCO
145	OÑONDIVEPA
146	ORIONE
147	ORTIZ GUERRERO MANUEL-JOSÉ ASUNCIÓN FLORES
148	PARAÍSO INFANTIL
149	PARAÍSO INFANTIL
150	PARQUE ALEGRÍA
151	PARQUE ECOLÓGICO
152	PARQUE INFANTIL PINOZÁ
153	PARQUE LITORAL
154	PASEO AVENIDA 5ta.
155	PAVETTI MORÍN, CLAUDIO VICENTE. Prof. Dr.
156	PETTIT, ROBERTO L.
157	PETTIT, ROBERTO L.
158	PIKYSYRY
159	PIRIZAL
160	PLAZA ECOLÓGICA "QUINTA SOSA"
161	PLAZA OLÍMPICA
162	PRIMER PRESIDENTE
163	REPÚBLICA DE BOLIVIA
164	REPÚBLICA DEL BRASIL
165	RIVAROLA, JOSÉ INFANTE. Mayor
166	RODRÍGUEZ DE FRANCIA, JOSÉ GASPAR. Dr.
167	ROJAS, PABLO. Cnel.
168	RUIZ DE KOHN, STELA MARIS
169	SAN BLAS
170	SAN BLAS
171	SAN FRANCISCO DE ASÍS
172	SAN ISIDRO LABRADOR
173	SAN JORGE
174	SAN JOSÉ OBRERO
175	SAN ROQUE
176	SAN SALVADOR
177	SANTA ELENA
178	SANTA LIBRADA
179	SANTA LIBRADA
180	SANTA ROSA DE LIMA
181	SANTA TERESA
182	SANTA TERESITA
183	SEMINARIO
184	SETIEMBRE 24 DE
185	SETIEMBRE 29 DE
186	SIN NOMBRE
187	SIN NOMBRE
188	SIN NOMBRE
189	SIN NOMBRE
190	SIN NOMBRE
191	SIN NOMBRE
192	SIN NOMBRE
193	SIN NOMBRE
194	SIN NOMBRE
195	SOL NACIENTE
196	STELLA MARIS
197	TAJY POTY .
198	TRIANGULITO
199	UNIÓN YSATEÑA
200	URBANIZACIÓN BOTÁNICO
201	URUGUAYA
202	VECINOS UNIDOS
203	VÍA FÉRREA Y POZO AZUL
204	VÍA FÉRREA
205	VILLA ESPERANZA
206	VILLA SOLIDARIDAD
207	VILLAGE
208	VILLA GOLONDRINA
209	VILLA IPVU
210	VILLA SOLEDAD
211	VILLA VERÓNICA
212	VIRGEN DE LA PAZ
213	VIRGEN DEL CARMEN
214	VY'A RENDA
215	WALT DISNEY
216	YEGROS, AGUSTÍN
217	YCUA FRANCIA
218	YCUA MARTÍNEZ
219	YCUA SATY .
220	YCUA YBUMÍ
221	YRENDAGUE
222	YUKYTY
223	ZORRILLA DE SAN MARTÍN , JUAN
